size: 128, time: 0.125788 s, speed: 0.033344 GFlops
size: 2016, time: 0.100603 s, speed: 162.888416 GFlops
size: 2020, time: 0.106653 s, speed: 154.564990 GFlops
size: 2024, time: 0.098056 s, speed: 169.117308 GFlops
size: 2028, time: 0.102455 s, speed: 162.817132 GFlops
size: 2032, time: 0.099597 s, speed: 168.482558 GFlops
size: 2036, time: 0.099652 s, speed: 169.385828 GFlops
size: 2040, time: 0.105089 s, speed: 161.570647 GFlops
size: 2044, time: 0.098432 s, speed: 173.514622 GFlops
size: 2048, time: 0.102979 s, speed: 166.828563 GFlops
size: 2052, time: 0.102244 s, speed: 169.014375 GFlops
size: 2056, time: 0.108745 s, speed: 159.841884 GFlops
size: 2060, time: 0.103118 s, speed: 169.549853 GFlops
size: 2064, time: 0.103206 s, speed: 170.394067 GFlops
size: 2068, time: 0.102769 s, speed: 172.115068 GFlops
size: 2072, time: 0.101477 s, speed: 175.319815 GFlops
size: 2076, time: 0.102780 s, speed: 174.102096 GFlops
size: 2080, time: 0.102115 s, speed: 176.250686 GFlops
size: 2084, time: 0.104034 s, speed: 173.999525 GFlops
size: 2088, time: 0.102348 s, speed: 177.885988 GFlops
size: 2092, time: 0.105273 s, speed: 173.939414 GFlops
size: 2096, time: 0.108734 s, speed: 169.370568 GFlops
size: 2100, time: 0.107376 s, speed: 172.496872 GFlops
size: 2104, time: 0.105714 s, speed: 176.211544 GFlops
size: 2108, time: 0.109295 s, speed: 171.412288 GFlops
size: 2112, time: 0.106821 s, speed: 176.382634 GFlops
size: 2116, time: 0.112186 s, speed: 168.903082 GFlops
size: 2120, time: 0.108170 s, speed: 176.169458 GFlops
size: 2124, time: 0.111656 s, speed: 171.636928 GFlops
size: 2128, time: 0.109687 s, speed: 175.707499 GFlops
size: 2132, time: 0.111120 s, speed: 174.420886 GFlops
size: 2136, time: 0.106990 s, speed: 182.175982 GFlops
size: 2140, time: 0.120582 s, speed: 162.550877 GFlops
size: 2144, time: 0.113631 s, speed: 173.463247 GFlops
size: 2148, time: 0.118945 s, speed: 166.642661 GFlops
size: 2152, time: 0.115920 s, speed: 171.948767 GFlops
size: 2156, time: 0.118388 s, speed: 169.304620 GFlops
size: 2160, time: 0.115391 s, speed: 174.670375 GFlops
size: 2164, time: 0.117730 s, speed: 172.152804 GFlops
size: 2168, time: 0.113509 s, speed: 179.546461 GFlops
size: 2172, time: 0.119111 s, speed: 172.051065 GFlops
size: 2176, time: 0.115007 s, speed: 179.177174 GFlops
size: 2180, time: 0.120886 s, speed: 171.404869 GFlops
size: 2184, time: 0.122228 s, speed: 170.458052 GFlops
size: 2188, time: 0.118268 s, speed: 177.135109 GFlops
size: 2192, time: 0.115645 s, speed: 182.148266 GFlops
size: 2196, time: 0.120870 s, speed: 175.230189 GFlops
size: 2200, time: 0.120450 s, speed: 176.803624 GFlops
size: 2204, time: 0.127782 s, speed: 167.569403 GFlops
size: 2208, time: 0.121693 s, speed: 176.913908 GFlops
size: 2212, time: 0.125066 s, speed: 173.079630 GFlops
size: 2216, time: 0.120846 s, speed: 180.097160 GFlops
size: 2220, time: 0.123555 s, speed: 177.104170 GFlops
size: 2224, time: 0.122367 s, speed: 179.791652 GFlops
size: 2228, time: 0.124776 s, speed: 177.273937 GFlops
size: 2232, time: 0.121845 s, speed: 182.517634 GFlops
size: 2236, time: 0.123928 s, speed: 180.416273 GFlops
size: 2240, time: 0.127677 s, speed: 176.060327 GFlops
size: 2244, time: 0.126601 s, speed: 178.509562 GFlops
size: 2248, time: 0.130824 s, speed: 173.672556 GFlops
size: 2252, time: 0.132824 s, speed: 171.972103 GFlops
size: 2256, time: 0.126821 s, speed: 181.073947 GFlops
size: 2260, time: 0.143298 s, speed: 161.107387 GFlops
size: 2264, time: 0.134124 s, speed: 173.042442 GFlops
size: 2268, time: 0.130840 s, speed: 178.327533 GFlops
size: 2272, time: 0.126610 s, speed: 185.262205 GFlops
size: 2276, time: 0.131732 s, speed: 179.001028 GFlops
size: 2280, time: 0.127150 s, speed: 186.430932 GFlops
size: 2284, time: 0.134077 s, speed: 177.731242 GFlops
size: 2288, time: 0.128084 s, speed: 187.026245 GFlops
size: 2292, time: 0.133953 s, speed: 179.771600 GFlops
size: 2296, time: 0.130224 s, speed: 185.889411 GFlops
size: 2300, time: 0.133637 s, speed: 182.090356 GFlops
size: 2304, time: 0.142672 s, speed: 171.450392 GFlops
size: 2308, time: 0.141260 s, speed: 174.067525 GFlops
size: 2312, time: 0.138063 s, speed: 179.026089 GFlops
size: 2316, time: 0.141931 s, speed: 175.052756 GFlops
size: 2320, time: 0.135270 s, speed: 184.625993 GFlops
size: 2324, time: 0.140407 s, speed: 178.792519 GFlops
size: 2328, time: 0.136564 s, speed: 184.775081 GFlops
size: 2332, time: 0.138841 s, speed: 182.683015 GFlops
size: 2336, time: 0.134601 s, speed: 189.409003 GFlops
size: 2340, time: 0.140316 s, speed: 182.629253 GFlops
size: 2344, time: 0.137792 s, speed: 186.929767 GFlops
size: 2348, time: 0.149972 s, speed: 172.629177 GFlops
size: 2352, time: 0.139745 s, speed: 186.211149 GFlops
size: 2356, time: 0.141251 s, speed: 185.167198 GFlops
size: 2360, time: 0.137727 s, speed: 190.874032 GFlops
size: 2364, time: 0.142117 s, speed: 185.920397 GFlops
size: 2368, time: 0.143227 s, speed: 185.417454 GFlops
size: 2372, time: 0.155562 s, speed: 171.581612 GFlops
size: 2376, time: 0.154599 s, speed: 173.525283 GFlops
size: 2380, time: 0.146942 s, speed: 183.491189 GFlops
size: 2384, time: 0.142896 s, speed: 189.639529 GFlops
size: 2388, time: 0.151424 s, speed: 179.861597 GFlops
size: 2392, time: 0.148608 s, speed: 184.192279 GFlops
size: 2396, time: 0.147278 s, speed: 186.789756 GFlops
size: 2400, time: 0.147201 s, speed: 187.825037 GFlops
size: 2404, time: 0.157677 s, speed: 176.223799 GFlops
size: 2408, time: 0.154385 s, speed: 180.881753 GFlops
size: 2412, time: 0.156806 s, speed: 178.977835 GFlops
size: 2416, time: 0.151346 s, speed: 186.358810 GFlops
size: 2420, time: 0.156108 s, speed: 181.572696 GFlops
size: 2424, time: 0.151570 s, speed: 187.938190 GFlops
size: 2428, time: 0.154816 s, speed: 184.910020 GFlops
size: 2432, time: 0.148951 s, speed: 193.142180 GFlops
size: 2436, time: 0.156854 s, speed: 184.317464 GFlops
size: 2440, time: 0.155401 s, speed: 186.958704 GFlops
size: 2444, time: 0.156475 s, speed: 186.590038 GFlops
size: 2448, time: 0.153903 s, speed: 190.641361 GFlops
size: 2452, time: 0.158594 s, speed: 185.910655 GFlops
size: 2456, time: 0.161396 s, speed: 183.578952 GFlops
size: 2460, time: 0.163343 s, speed: 182.278277 GFlops
size: 2464, time: 0.161578 s, speed: 185.169476 GFlops
size: 2468, time: 0.164125 s, speed: 183.185382 GFlops
size: 2472, time: 0.155675 s, speed: 194.069239 GFlops
size: 2476, time: 0.166728 s, speed: 182.084645 GFlops
size: 2480, time: 0.156705 s, speed: 194.671239 GFlops
size: 2484, time: 0.172969 s, speed: 177.221675 GFlops
size: 2488, time: 0.170039 s, speed: 181.147664 GFlops
size: 2492, time: 0.165234 s, speed: 187.316091 GFlops
size: 2496, time: 0.162371 s, speed: 191.538237 GFlops
size: 2500, time: 0.164118 s, speed: 190.411717 GFlops
size: 2504, time: 0.168148 s, speed: 186.741635 GFlops
size: 2508, time: 0.172920 s, speed: 182.459884 GFlops
size: 2512, time: 0.166853 s, speed: 190.000616 GFlops
size: 2516, time: 0.172580 s, speed: 184.574386 GFlops
size: 2520, time: 0.160894 s, speed: 198.925908 GFlops
size: 2524, time: 0.171946 s, speed: 187.027663 GFlops
size: 2528, time: 0.171470 s, speed: 188.440064 GFlops
size: 2532, time: 0.171820 s, speed: 188.950295 GFlops
size: 2536, time: 0.167639 s, speed: 194.581989 GFlops
size: 2540, time: 0.177163 s, speed: 184.994322 GFlops
size: 2544, time: 0.175170 s, speed: 187.984362 GFlops
size: 2548, time: 0.175303 s, speed: 188.729141 GFlops
size: 2552, time: 0.169628 s, speed: 195.963284 GFlops
size: 2556, time: 0.177391 s, speed: 188.269875 GFlops
size: 2560, time: 0.183509 s, speed: 182.849099 GFlops
size: 2564, time: 0.176363 s, speed: 191.151012 GFlops
size: 2568, time: 0.170619 s, speed: 198.512397 GFlops
size: 2572, time: 0.177573 s, speed: 191.631121 GFlops
size: 2576, time: 0.176199 s, speed: 194.027922 GFlops
size: 2580, time: 0.185233 s, speed: 185.425936 GFlops
size: 2584, time: 0.176781 s, speed: 195.196527 GFlops
size: 2588, time: 0.188191 s, speed: 184.214625 GFlops
size: 2592, time: 0.175208 s, speed: 198.783726 GFlops
size: 2596, time: 0.184985 s, speed: 189.150358 GFlops
size: 2600, time: 0.179483 s, speed: 195.851487 GFlops
size: 2604, time: 0.189190 s, speed: 186.661356 GFlops
size: 2608, time: 0.183955 s, speed: 192.859603 GFlops
size: 2612, time: 0.186456 s, speed: 191.149529 GFlops
size: 2616, time: 0.184340 s, speed: 194.233274 GFlops
size: 2620, time: 0.187222 s, speed: 192.121947 GFlops
size: 2624, time: 0.181554 s, speed: 199.028856 GFlops
size: 2628, time: 0.190629 s, speed: 190.421989 GFlops
size: 2632, time: 0.185625 s, speed: 196.449535 GFlops
size: 2636, time: 0.189062 s, speed: 193.759159 GFlops
size: 2640, time: 0.183526 s, speed: 200.513716 GFlops
size: 2644, time: 0.191143 s, speed: 193.399732 GFlops
size: 2648, time: 0.191383 s, speed: 194.035101 GFlops
size: 2652, time: 0.192900 s, speed: 193.383073 GFlops
size: 2656, time: 0.181381 s, speed: 206.596256 GFlops
size: 2660, time: 0.191639 s, speed: 196.422453 GFlops
size: 2664, time: 0.191409 s, speed: 197.546824 GFlops
size: 2668, time: 0.201059 s, speed: 188.913820 GFlops
size: 2672, time: 0.194236 s, speed: 196.430780 GFlops
size: 2676, time: 0.197609 s, speed: 193.946398 GFlops
size: 2680, time: 0.194814 s, speed: 197.612444 GFlops
size: 2684, time: 0.208985 s, speed: 185.038554 GFlops
size: 2688, time: 0.204244 s, speed: 190.181466 GFlops
size: 2692, time: 0.203269 s, speed: 191.948181 GFlops
size: 2696, time: 0.203543 s, speed: 192.545600 GFlops
size: 2700, time: 0.206184 s, speed: 190.926634 GFlops
size: 2704, time: 0.202079 s, speed: 195.672260 GFlops
size: 2708, time: 0.203453 s, speed: 195.214351 GFlops
size: 2712, time: 0.195166 s, speed: 204.406472 GFlops
size: 2716, time: 0.204690 s, speed: 195.759438 GFlops
size: 2720, time: 0.201827 s, speed: 199.414777 GFlops
size: 2724, time: 0.206896 s, speed: 195.388533 GFlops
size: 2728, time: 0.210754 s, speed: 192.658173 GFlops
size: 2732, time: 0.210764 s, speed: 193.497692 GFlops
size: 2736, time: 0.198845 s, speed: 205.998129 GFlops
size: 2740, time: 0.209272 s, speed: 196.594222 GFlops
size: 2744, time: 0.202568 s, speed: 203.991406 GFlops
size: 2748, time: 0.211534 s, speed: 196.200428 GFlops
size: 2752, time: 0.204210 s, speed: 204.125935 GFlops
size: 2756, time: 0.211200 s, speed: 198.231982 GFlops
size: 2760, time: 0.210632 s, speed: 199.633175 GFlops
size: 2764, time: 0.213956 s, speed: 197.387389 GFlops
size: 2768, time: 0.209950 s, speed: 202.028405 GFlops
size: 2772, time: 0.212402 s, speed: 200.563018 GFlops
size: 2776, time: 0.214389 s, speed: 199.565612 GFlops
size: 2780, time: 0.229942 s, speed: 186.872726 GFlops
size: 2784, time: 0.220152 s, speed: 196.026709 GFlops
size: 2788, time: 0.221568 s, speed: 195.614505 GFlops
size: 2792, time: 0.214321 s, speed: 203.100613 GFlops
size: 2796, time: 0.222150 s, speed: 196.786367 GFlops
size: 2800, time: 0.219347 s, speed: 200.157741 GFlops
size: 2804, time: 0.225974 s, speed: 195.121825 GFlops
size: 2808, time: 0.217044 s, speed: 204.020482 GFlops
size: 2812, time: 0.223454 s, speed: 199.015918 GFlops
size: 2816, time: 0.229227 s, speed: 194.832791 GFlops
size: 2820, time: 0.223999 s, speed: 200.231157 GFlops
size: 2824, time: 0.229311 s, speed: 196.426105 GFlops
size: 2828, time: 0.226903 s, speed: 199.355419 GFlops
size: 2832, time: 0.225456 s, speed: 201.487425 GFlops
size: 2836, time: 0.232355 s, speed: 196.334415 GFlops
size: 2840, time: 0.224673 s, speed: 203.907908 GFlops
size: 2844, time: 0.230108 s, speed: 199.934164 GFlops
size: 2848, time: 0.224854 s, speed: 205.470220 GFlops
size: 2852, time: 0.233575 s, speed: 198.633276 GFlops
size: 2856, time: 0.227199 s, speed: 205.068284 GFlops
size: 2860, time: 0.234496 s, speed: 199.522961 GFlops
size: 2864, time: 0.228712 s, speed: 205.428352 GFlops
size: 2868, time: 0.238124 s, speed: 198.136290 GFlops
size: 2872, time: 0.239804 s, speed: 197.572650 GFlops
size: 2876, time: 0.245958 s, speed: 193.435210 GFlops
size: 2880, time: 0.232788 s, speed: 205.232981 GFlops
size: 2884, time: 0.242245 s, speed: 198.043693 GFlops
size: 2888, time: 0.237991 s, speed: 202.423466 GFlops
size: 2892, time: 0.237864 s, speed: 203.374319 GFlops
size: 2896, time: 0.229528 s, speed: 211.636046 GFlops
size: 2900, time: 0.240616 s, speed: 202.721278 GFlops
size: 2904, time: 0.234583 s, speed: 208.796627 GFlops
size: 2908, time: 0.248543 s, speed: 197.884430 GFlops
size: 2912, time: 0.234817 s, speed: 210.317069 GFlops
size: 2916, time: 0.247445 s, speed: 200.407368 GFlops
size: 2920, time: 0.246754 s, speed: 201.796890 GFlops
size: 2924, time: 0.248287 s, speed: 201.376220 GFlops
size: 2928, time: 0.244779 s, speed: 205.101712 GFlops
size: 2932, time: 0.245340 s, speed: 205.472327 GFlops
size: 2936, time: 0.244177 s, speed: 207.297093 GFlops
size: 2940, time: 0.250833 s, speed: 202.622307 GFlops
size: 2944, time: 0.241355 s, speed: 211.439823 GFlops
size: 2948, time: 0.253091 s, speed: 202.458290 GFlops
size: 2952, time: 0.241780 s, speed: 212.793621 GFlops
size: 2956, time: 0.258357 s, speed: 199.950719 GFlops
size: 2960, time: 0.248095 s, speed: 209.067755 GFlops
size: 2964, time: 0.262642 s, speed: 198.289890 GFlops
size: 2968, time: 0.355955 s, speed: 146.901570 GFlops
size: 2972, time: 0.253969 s, speed: 206.726323 GFlops
size: 2976, time: 0.251403 s, speed: 209.680755 GFlops
size: 2980, time: 0.263133 s, speed: 201.142290 GFlops
size: 2984, time: 0.252198 s, speed: 210.709854 GFlops
size: 2988, time: 0.258785 s, speed: 206.173413 GFlops
size: 2992, time: 0.257850 s, speed: 207.753210 GFlops
size: 2996, time: 0.258802 s, speed: 207.820268 GFlops
size: 3000, time: 0.257593 s, speed: 209.633094 GFlops
size: 3004, time: 0.259682 s, speed: 208.779587 GFlops
size: 3008, time: 0.257945 s, speed: 211.026150 GFlops
size: 3012, time: 0.269854 s, speed: 202.519072 GFlops
size: 3016, time: 0.266865 s, speed: 205.604381 GFlops
size: 3020, time: 0.268351 s, speed: 205.280580 GFlops
size: 3024, time: 0.258303 s, speed: 214.114278 GFlops
size: 3028, time: 0.275391 s, speed: 201.626718 GFlops
size: 3032, time: 0.269082 s, speed: 207.172844 GFlops
size: 3036, time: 0.274065 s, speed: 204.212204 GFlops
size: 3040, time: 0.271029 s, speed: 207.317036 GFlops
size: 3044, time: 0.271541 s, speed: 207.744110 GFlops
size: 3048, time: 0.271744 s, speed: 208.408246 GFlops
size: 3052, time: 0.271922 s, speed: 209.092974 GFlops
size: 3056, time: 0.266212 s, speed: 214.418592 GFlops
size: 3060, time: 0.272317 s, speed: 210.435802 GFlops
size: 3064, time: 0.280622 s, speed: 205.009768 GFlops
size: 3068, time: 0.276656 s, speed: 208.764238 GFlops
size: 3072, time: 0.283874 s, speed: 204.252772 GFlops
size: 3076, time: 0.284939 s, speed: 204.285253 GFlops
size: 3080, time: 0.282364 s, speed: 206.953426 GFlops
size: 3084, time: 0.283816 s, speed: 206.698080 GFlops
size: 3088, time: 0.275069 s, speed: 214.101754 GFlops
size: 3092, time: 0.291055 s, speed: 203.129540 GFlops
size: 3096, time: 0.274926 s, speed: 215.882342 GFlops
size: 3100, time: 0.289686 s, speed: 205.677897 GFlops
size: 3104, time: 0.282629 s, speed: 211.630565 GFlops
size: 3108, time: 0.291368 s, speed: 206.077777 GFlops
size: 3112, time: 0.283659 s, speed: 212.496716 GFlops
size: 3116, time: 0.292805 s, speed: 206.654049 GFlops
size: 3120, time: 0.281026 s, speed: 216.146124 GFlops
size: 3124, time: 0.290797 s, speed: 209.687797 GFlops
size: 3128, time: 0.285864 s, speed: 214.126762 GFlops
size: 3132, time: 0.294274 s, speed: 208.806122 GFlops
size: 3136, time: 0.281703 s, speed: 218.960962 GFlops
size: 3140, time: 0.298119 s, speed: 207.696669 GFlops
size: 3144, time: 0.287040 s, speed: 216.538535 GFlops
size: 3148, time: 0.300778 s, speed: 207.437957 GFlops
size: 3152, time: 0.291066 s, speed: 215.177693 GFlops
size: 3156, time: 0.295355 s, speed: 212.861213 GFlops
size: 3160, time: 0.289291 s, speed: 218.150446 GFlops
size: 3164, time: 0.294268 s, speed: 215.276459 GFlops
size: 3168, time: 0.290712 s, speed: 218.737064 GFlops
size: 3172, time: 0.301545 s, speed: 211.678884 GFlops
size: 3176, time: 0.300413 s, speed: 213.281364 GFlops
size: 3180, time: 0.311673 s, speed: 206.353550 GFlops
size: 3184, time: 0.296083 s, speed: 218.039782 GFlops
size: 3188, time: 0.305571 s, speed: 212.066801 GFlops
size: 3192, time: 0.298584 s, speed: 217.847276 GFlops
size: 3196, time: 0.306844 s, speed: 212.780918 GFlops
size: 3200, time: 0.299870 s, speed: 218.548027 GFlops
size: 3204, time: 0.315848 s, speed: 208.271206 GFlops
size: 3208, time: 0.300769 s, speed: 219.533204 GFlops
size: 3212, time: 0.308994 s, speed: 214.489720 GFlops
size: 3216, time: 0.312153 s, speed: 213.113255 GFlops
size: 3220, time: 0.317977 s, speed: 209.991465 GFlops
size: 3224, time: 0.310339 s, speed: 215.962713 GFlops
size: 3228, time: 0.318115 s, speed: 211.468864 GFlops
size: 3232, time: 0.307085 s, speed: 219.879832 GFlops
size: 3236, time: 0.320724 s, speed: 211.312108 GFlops
size: 3240, time: 0.308210 s, speed: 220.708018 GFlops
size: 3244, time: 0.320737 s, speed: 212.874492 GFlops
size: 3248, time: 0.309533 s, speed: 221.396593 GFlops
size: 3252, time: 0.322524 s, speed: 213.264944 GFlops
size: 3256, time: 0.313302 s, speed: 220.353504 GFlops
size: 3260, time: 0.327191 s, speed: 211.778221 GFlops
size: 3264, time: 0.316501 s, speed: 219.738000 GFlops
size: 3268, time: 0.325946 s, speed: 214.156056 GFlops
size: 3272, time: 0.321958 s, speed: 217.605853 GFlops
size: 3276, time: 0.329002 s, speed: 213.728752 GFlops
size: 3280, time: 0.322580 s, speed: 218.783193 GFlops
size: 3284, time: 0.327972 s, speed: 215.974640 GFlops
size: 3288, time: 0.319948 s, speed: 222.201036 GFlops
size: 3292, time: 0.333905 s, speed: 213.691170 GFlops
size: 3296, time: 0.325577 s, speed: 219.957037 GFlops
size: 3300, time: 0.341030 s, speed: 210.755577 GFlops
size: 3304, time: 0.332671 s, speed: 216.837935 GFlops
size: 3308, time: 0.338200 s, speed: 214.068505 GFlops
size: 3312, time: 0.324335 s, speed: 224.030604 GFlops
size: 3316, time: 0.336429 s, speed: 216.760573 GFlops
size: 3320, time: 0.337461 s, speed: 216.880426 GFlops
size: 3324, time: 0.342208 s, speed: 214.646098 GFlops
size: 3328, time: 0.354024 s, speed: 208.231790 GFlops
size: 3332, time: 0.344537 s, speed: 214.738088 GFlops
size: 3336, time: 0.341129 s, speed: 217.665552 GFlops
size: 3340, time: 0.347406 s, speed: 214.502271 GFlops
size: 3344, time: 0.341133 s, speed: 219.232491 GFlops
size: 3348, time: 0.345128 s, speed: 217.473515 GFlops
size: 3352, time: 0.336594 s, speed: 223.787502 GFlops
size: 3356, time: 0.346738 s, speed: 218.018972 GFlops
size: 3360, time: 0.334609 s, speed: 226.730616 GFlops
size: 3364, time: 0.353695 s, speed: 215.262877 GFlops
size: 3368, time: 0.356385 s, speed: 214.401015 GFlops
size: 3372, time: 0.352928 s, speed: 217.273456 GFlops
size: 3376, time: 0.341694 s, speed: 225.216294 GFlops
size: 3380, time: 0.355913 s, speed: 216.988310 GFlops
size: 3384, time: 0.354099 s, speed: 218.875226 GFlops
size: 3388, time: 0.361522 s, speed: 215.142157 GFlops
size: 3392, time: 0.349474 s, speed: 223.348332 GFlops
size: 3396, time: 0.358570 s, speed: 218.453626 GFlops
size: 3400, time: 0.355671 s, speed: 221.013284 GFlops
size: 3404, time: 0.368680 s, speed: 213.968120 GFlops
size: 3408, time: 0.352818 s, speed: 224.376829 GFlops
size: 3412, time: 0.361439 s, speed: 219.797153 GFlops
size: 3416, time: 0.375526 s, speed: 212.296887 GFlops
size: 3420, time: 0.365091 s, speed: 219.132790 GFlops
size: 3424, time: 0.353715 s, speed: 226.974912 GFlops
size: 3428, time: 0.370496 s, speed: 217.454736 GFlops
size: 3432, time: 0.360528 s, speed: 224.250202 GFlops
size: 3436, time: 0.368840 s, speed: 219.963789 GFlops
size: 3440, time: 0.359543 s, speed: 226.440645 GFlops
size: 3444, time: 0.376367 s, speed: 217.074123 GFlops
size: 3448, time: 0.368598 s, speed: 222.422548 GFlops
size: 3452, time: 0.374186 s, speed: 219.864330 GFlops
size: 3456, time: 0.366145 s, speed: 225.474758 GFlops
size: 3460, time: 0.376737 s, speed: 219.897431 GFlops
size: 3464, time: 0.370147 s, speed: 224.589487 GFlops
size: 3468, time: 0.384136 s, speed: 217.161231 GFlops
size: 3472, time: 0.372955 s, speed: 224.446384 GFlops
size: 3476, time: 0.403774 s, speed: 208.032373 GFlops
size: 3480, time: 0.563105 s, speed: 149.684993 GFlops
size: 3484, time: 0.404731 s, speed: 208.976729 GFlops
size: 3488, time: 0.567523 s, speed: 149.546398 GFlops
size: 3492, time: 0.407206 s, speed: 209.140658 GFlops
size: 3496, time: 0.600526 s, speed: 142.302452 GFlops
size: 3500, time: 0.404815 s, speed: 211.825176 GFlops
size: 3504, time: 0.589663 s, speed: 145.921199 GFlops
size: 3508, time: 0.405701 s, speed: 212.815130 GFlops
size: 3512, time: 0.589438 s, speed: 146.979043 GFlops
size: 3516, time: 0.412979 s, speed: 210.498252 GFlops
size: 3520, time: 0.608984 s, speed: 143.235975 GFlops
size: 3524, time: 0.645994 s, speed: 135.490625 GFlops
size: 3528, time: 0.387799 s, speed: 226.469130 GFlops
size: 3532, time: 0.399855 s, speed: 220.388739 GFlops
size: 3536, time: 0.385820 s, speed: 229.182856 GFlops
size: 3540, time: 0.400459 s, speed: 221.555057 GFlops
size: 3544, time: 0.395572 s, speed: 225.053437 GFlops
size: 3548, time: 0.400286 s, speed: 223.156846 GFlops
size: 3552, time: 0.389185 s, speed: 230.299411 GFlops
size: 3556, time: 0.409020 s, speed: 219.872424 GFlops
size: 3560, time: 0.397508 s, speed: 227.004371 GFlops
size: 3564, time: 0.415162 s, speed: 218.084799 GFlops
size: 3568, time: 0.395058 s, speed: 229.955480 GFlops
size: 3572, time: 0.409931 s, speed: 222.358323 GFlops
size: 3576, time: 0.411959 s, speed: 222.007860 GFlops
size: 3580, time: 0.411064 s, speed: 223.238695 GFlops
size: 3584, time: 0.419212 s, speed: 219.634436 GFlops
size: 3588, time: 0.410937 s, speed: 224.808242 GFlops
size: 3592, time: 0.407617 s, speed: 227.398108 GFlops
size: 3596, time: 0.418312 s, speed: 222.325177 GFlops
size: 3600, time: 0.414877 s, speed: 224.914759 GFlops
size: 3604, time: 0.422576 s, speed: 221.553985 GFlops
size: 3608, time: 0.412759 s, speed: 227.579407 GFlops
size: 3612, time: 0.415079 s, speed: 227.060890 GFlops
size: 3616, time: 0.406062 s, speed: 232.874951 GFlops
size: 3620, time: 0.426194 s, speed: 222.611800 GFlops
size: 3624, time: 0.414906 s, speed: 229.427288 GFlops
size: 3628, time: 0.425156 s, speed: 224.638217 GFlops
size: 3632, time: 0.418638 s, speed: 228.891085 GFlops
size: 3636, time: 0.430866 s, speed: 223.130733 GFlops
size: 3640, time: 0.425018 s, speed: 226.948331 GFlops
size: 3644, time: 0.428668 s, speed: 225.758449 GFlops
size: 3648, time: 0.412442 s, speed: 235.413510 GFlops
size: 3652, time: 0.438709 s, speed: 222.047423 GFlops
size: 3656, time: 0.424103 s, speed: 230.450253 GFlops
size: 3660, time: 0.434763 s, speed: 225.538393 GFlops
size: 3664, time: 0.430714 s, speed: 228.406002 GFlops
size: 3668, time: 0.443175 s, speed: 222.711502 GFlops
size: 3672, time: 0.431420 s, speed: 229.529045 GFlops
size: 3676, time: 0.442236 s, speed: 224.647952 GFlops
size: 3680, time: 0.430947 s, speed: 231.286223 GFlops
size: 3684, time: 0.447491 s, speed: 223.462484 GFlops
size: 3688, time: 0.435866 s, speed: 230.170480 GFlops
size: 3692, time: 0.445226 s, speed: 226.065661 GFlops
size: 3696, time: 0.436304 s, speed: 231.439028 GFlops
size: 3700, time: 0.459618 s, speed: 220.413430 GFlops
size: 3704, time: 0.435746 s, speed: 233.243509 GFlops
size: 3708, time: 0.455824 s, speed: 223.692839 GFlops
size: 3712, time: 0.442263 s, speed: 231.298811 GFlops
size: 3716, time: 0.455579 s, speed: 225.264821 GFlops
size: 3720, time: 0.454437 s, speed: 226.560980 GFlops
size: 3724, time: 0.459165 s, speed: 224.952148 GFlops
size: 3728, time: 0.450489 s, speed: 230.024170 GFlops
size: 3732, time: 0.461518 s, speed: 225.250732 GFlops
size: 3736, time: 0.450065 s, speed: 231.726369 GFlops
size: 3740, time: 0.465071 s, speed: 224.970502 GFlops
size: 3744, time: 0.450750 s, speed: 232.863758 GFlops
size: 3748, time: 0.472344 s, speed: 222.930860 GFlops
size: 3752, time: 0.458456 s, speed: 230.420326 GFlops
size: 3756, time: 0.471148 s, speed: 224.931035 GFlops
size: 3760, time: 0.454519 s, speed: 233.906051 GFlops
size: 3764, time: 0.474020 s, speed: 224.999820 GFlops
size: 3768, time: 0.466466 s, speed: 229.373113 GFlops
size: 3772, time: 0.473634 s, speed: 226.622055 GFlops
size: 3776, time: 0.466476 s, speed: 230.832355 GFlops
size: 3780, time: 0.479215 s, speed: 225.410985 GFlops
size: 3784, time: 0.479389 s, speed: 226.045235 GFlops
size: 3788, time: 0.477616 s, speed: 227.604682 GFlops
size: 3792, time: 0.463818 s, speed: 235.118898 GFlops
size: 3796, time: 0.482885 s, speed: 226.550485 GFlops
size: 3800, time: 0.482779 s, speed: 227.317249 GFlops
size: 3804, time: 0.485594 s, speed: 226.713916 GFlops
size: 3808, time: 0.471064 s, speed: 234.444914 GFlops
size: 3812, time: 0.493362 s, speed: 224.555150 GFlops
size: 3816, time: 0.485234 s, speed: 229.036053 GFlops
size: 3820, time: 0.504249 s, speed: 221.092981 GFlops
size: 3824, time: 0.480840 s, speed: 232.585742 GFlops
size: 3828, time: 0.492259 s, speed: 227.904077 GFlops
size: 3832, time: 0.474857 s, speed: 236.997393 GFlops
size: 3836, time: 0.500348 s, speed: 225.628286 GFlops
size: 3840, time: 0.507871 s, speed: 222.982268 GFlops
size: 3844, time: 0.505526 s, speed: 224.717337 GFlops
size: 3848, time: 0.493342 s, speed: 230.986689 GFlops
size: 3852, time: 0.507987 s, speed: 225.027820 GFlops
size: 3856, time: 0.493138 s, speed: 232.526544 GFlops
size: 3860, time: 0.499067 s, speed: 230.479868 GFlops
size: 3864, time: 0.502336 s, speed: 229.692611 GFlops
size: 3868, time: 0.514960 s, speed: 224.758463 GFlops
size: 3872, time: 0.497062 s, speed: 233.574542 GFlops
